Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
0,-4.65463829,-4.692923546,-3.011367321,111.6500015,250.9499969,53.90000153,0.4375551045,1.026371002,-0.1244343892
0,-5.302494526,-5.134997368,-1.969292998,111.7900009,246.8200073,57.11999893,0.4784014225,1.005993366,-0.1470588297
0,-5.178067684,-5.190630436,0.03948157281,111.1600037,245.7700043,61.45999908,0.5277696252,0.9730296731,-0.2029734999
0,-5.793023586,-5.572285652,-1.260419488,111.5100021,243.1800079,65.16999817,0.5530414581,0.9418639541,-0.2546865046
0,-5.929414749,-4.316651821,0.5533401966,111.4400024,241.7100067,68.38999939,0.610049963,0.9133952856,-0.2598578036
0,-6.003591537,-6.397809505,0.2596212626,111.7900009,241.2900085,72.59000397,0.6570672989,0.8867245913,-0.2323852628
0,-5.436492443,-5.808577061,-0.1274178028,111.1600037,245.4900055,75.94999695,0.7178959846,0.8453701138,-0.185843572
0,-5.817550659,-5.965306759,-0.07776673883,108.2900009,253.1900024,78.95999908,0.7508081198,0.8249925375,-0.1703296751
0,-6.951747417,-6.196214676,-0.0197407864,104.5100021,263.0599976,81.48000336,0.791654408,0.7743481994,-0.1839043349
0,-7.670791149,-5.170889854,-0.8255237937,99.95999908,274.8200073,83.58000183,0.8219218254,0.7452802062,-0.1978022009
0,-8.523832321,-4.954936981,-0.7884350419,95.19999695,285.8099976,85.61000061,0.8269174099,0.6613724828,-0.3729799688
0,-8.845068932,-4.942375183,-1.02711916,90.37000275,295.2600098,87.77999878,0.8204525709,0.637398839,-0.4356819689
0,-9.491729736,-4.917848587,-1.089332581,85.68000031,302.3999939,89.94999695,0.8210402727,0.6050344706,-0.4851325154
0,-9.932606697,-5.175675392,-1.331605792,80.22000122,306.8800049,91.76999664,0.8210402727,0.5705723763,-0.5077569485
0,-10.33579826,-5.053043365,-1.56191504,75.31999969,309.2600098,93.23999786,-0.3940640688,0.8067126274,-0.5504201651
0,-9.820742607,-4.613960266,-0.5599204898,70.84000397,308,93.80000305,-0.6708786488,0.3652981818,-0.6140918136
0,-11.3389883,-5.000999451,-1.362712622,66.98999786,302.9599915,94.36000061,-0.8189832568,-0.08750374615,-0.4143503606
0,-10.61695385,-4.716851711,-2.495115995,62.65000153,297.0100098,94.43000031,-0.8560094237,-0.1669163853,0.2139625102
0,-9.675377846,-4.110869408,-1.183250785,59.08000183,291.1300049,94.63999939,-0.8736408949,-0.1621216685,0.1425339431
0,-10.64088249,-4.759922504,-3.071187973,56.20999908,285.25,94.22000122,-0.8698207736,-0.1938867271,0.1444731802
0,-9.644869804,-4.073780537,-1.980659008,53.90000153,278.8099976,93.87000275,-0.8610050082,-0.1786035299,0.1515837163
0,-10.01156998,-3.45583415,-3.117249727,50.68000031,269.9899902,93.30999756,-0.8730531931,-0.1789032072,0.1347769946
0,-9.675377846,-3.014956713,-2.836092949,48.22999954,260.6799927,92.81999969,-0.8730531931,-0.1780041903,0.1260504276
0,-9.903294563,-4.180261135,-3.156731367,46.97000122,249.9700012,92.12000275,-0.886864543,-0.1453401297,0.07563025504
0,-10.47398376,-5.145764828,-2.913859844,45.92000198,239.8200073,91.34999847,-0.8865706921,-0.1177704558,0.06108597293
0,-10.40279675,-5.227120876,-3.741776228,43.47000122,229.3200073,91.20999908,-0.8977372646,-0.1009889096,-0.02100840397
0,-10.92562866,-5.254040718,-3.775276184,42.49000168,218.4700012,90.16000366,0,0,0
0,-9.937392235,-5.338387489,-2.550748825,39.54999924,210.9100037,89.38999939,0,0,0
0,-10.59123135,-4.487140656,-3.931407452,36.75,203,88.41000366,0,0,0
0,-10.00558758,-4.350749969,-3.259622574,36.47000122,194.4600067,86.66000366,0,0,0
0,-9.741181374,-4.944169521,-2.304288149,36.18999863,184.0299988,86.66000366,0,0,0
0,-9.850652695,-4.610371113,-2.92402935,35,170.7299957,86.23999786,0,0,0
0,-9.464810371,-4.402793884,-2.382055044,32.40999985,160.3000031,84.41999817,0,0,0
